Nombre,URL,Puntuacion,Comentarios,Municipio,Descripcion,Alrededores
Hostal Pachanuna,https://www.booking.com/hotel/co/hostal-pachanuna-murillo1.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"9,1",179 comentarios,Murillo,"Hostal Pachanuna se encuentra en Murillo y ofrece jardín. Hay terraza, wifi gratis y parking privado gratis.

En el hostal o pensión, todas las habitaciones tienen un patio con vistas a la montaña. Hostal Pachanuna ofrece algunas unidades con vistas a la ciudad, y todas cuentan con balcón.

El aeropuerto (Aeropuerto de La Nubia) está a 76 km.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 300 m; RestaurantePanadería Murillo - 23 km; Cafetería/barCafetería y miscelánea - 23 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 70 km
Cabañas el condor del Ruíz,https://www.booking.com/hotel/co/cabanas-el-condor-del-ruiz.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"9,2",55 comentarios,Murillo,"Cabañas el condor del Ruíz está en Murillo y ofrece alojamiento con wifi gratis, jardín con terraza y vistas a la montaña.

El agroturismo ofrece desayuno a la carta o americano.

El aeropuerto (Aeropuerto de La Nubia) está a 77 km.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 600 m; RestaurantePanadería Murillo - 22 km; Cafetería/barCafetería y miscelánea - 22 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 70 km
Hostal Casa Celeste,https://www.booking.com/hotel/co/hostal-casa-celeste.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"9,2",49 comentarios,Murillo,"Hostal Casa Celeste se encuentra en Murillo. El hostal o pensión libre de humo ofrece wifi gratis en todo el alojamiento.

Todas las habitaciones tienen baño privado, algunas ofrecen balcón y otras también tienen vistas a la ciudad.

El aeropuerto (Aeropuerto de La Nubia) está a 76 km.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 30 m; RestaurantePanadería Murillo - 22 km; Cafetería/barCafetería y miscelánea - 23 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 70 km
Hotel Areca,https://www.booking.com/hotel/co/areca.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"9,4",45 comentarios,Murillo,"Hotel Areca ofrece alojamiento en Murillo. El alojamiento dispone de servicio de habitaciones y recepción 24 horas.

Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de wifi gratis. Algunas de las habitaciones también incluyen vistas a la montaña. En el hotel, cada habitación dispone de ropa de cama y toallas.

El aeropuerto (Aeropuerto de La Nubia) está a 77 km.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 600 m; RestaurantePanadería Murillo - 22 km; Cafetería/barCafetería y miscelánea - 22 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 70 km
Stellarium Glamping,https://www.booking.com/hotel/co/stellarium-glamping.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"9,5",102 comentarios,Murillo,"Stellarium Glamping está en Murillo, en la región de Tolima. Ofrece alojamiento con parking privado gratis y acceso a la bañera de hidromasaje. El alojamiento tiene bañera de hidromasaje y bañera de hidromasaje.

Todas las unidades tienen baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

El tented camp dispone de terraza, además de jardín.

El aeropuerto (Aeropuerto de La Nubia) está a 72 km.","Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 1,6 km; RestaurantePanadería Murillo - 21 km; Cafetería/barCafetería y miscelánea - 21 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 71 km"
Ecoparque Nevado Del Ruiz,https://www.booking.com/hotel/co/ecoparque-nevado-del-ruiz.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"8,8",88 comentarios,Murillo,"Ecoparque Nevado Del Ruiz está en Murillo y tiene jardín, terraza, bar y wifi gratis en todo el alojamiento. Hay parking privado gratis y el alojamiento dispone de servicio de traslado de pago para ir o volver del aeropuerto.

En el hotel, todas las habitaciones están equipadas con un balcón con vistas a la montaña. En Ecoparque Nevado Del Ruiz, cada habitación cuenta con baño privado y ropa de cama.

Hay opciones a la carta o americanas de desayuno disponibles en el alojamiento.

La clientela puede practicar actividades en Murillo y alrededores, como senderismo y ciclismo.

El aeropuerto (Aeropuerto de La Nubia) está a 59 km.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 14 km; RestauranteEl Ocho - 36 km; RestauranteLa Esperanza - 36 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 52 km
La Vaca Fifí,https://www.booking.com/hotel/co/la-vaca-fifi.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"9,0",11 comentarios,Murillo,"La Vaca Fifí está en Murillo, en la región de Tolima, y ofrece alojamiento con parking privado gratis.

Las unidades están equipadas con balcón y disponen de TV de pantalla plana y baño privado con ducha y artículos de aseo gratuitos.

En el agroturismo se sirve un desayuno americano.

El aeropuerto (Aeropuerto de La Nubia) está a 79 km.","Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 2,5 km; RestaurantePanadería Murillo - 19 km; Cafetería/barCafetería y miscelánea - 20 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 72 km"
Hostal Juan Páramo,https://www.booking.com/hotel/co/hostal-juan-paramo.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,10,3 comentarios,Murillo,"Hostal Juan Páramo, que tiene jardín, está en Murillo. El hostal o pensión tiene habitaciones familiares.

El aeropuerto (Aeropuerto de La Nubia) está a 70 km.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 300 m; RestaurantePanadería Murillo - 22 km; Cafetería/barCafetería y miscelánea - 23 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 70 km
El Hostal del Abuelo,https://www.booking.com/hotel/co/el-hostal-del-abuelo.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"9,4",37 comentarios,Murillo,"El Hostal del Abuelo ofrece alojamiento en Murillo y cuenta con jardín y wifi gratis.

Todas las unidades tienen balcón con vistas a la ciudad, a la montaña o al lago, y disponen de cocina con nevera y lavavajillas. También hay horno, fogones y cafetera.

El aeropuerto (Aeropuerto de La Nubia) está a 76 km.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 300 m; RestaurantePanadería Murillo - 23 km; Cafetería/barCafetería y miscelánea - 23 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 69 km
Cabañas y Restaurante El Jardin,https://www.booking.com/hotel/co/cabanas-y-restaurante-el-jardin-murillo1.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"8,7",11 comentarios,Murillo,"Cabañas y Restaurante El Jardin se encuentra en Murillo. Hay parking privado en el propio alojamiento.

Esta casa o chalet tiene acceso directo a un balcón y cuenta con 2 dormitorios. La casa o chalet también tiene 1 baño.

El aeropuerto (Aeropuerto de La Nubia) está a 77 km.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 800 m; RestaurantePanadería Murillo - 22 km; Cafetería/barCafetería y miscelánea - 22 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 70 km
HOSTAL RANCHO JOTA Murillo Tolima,https://www.booking.com/hotel/co/hostal-rancho-jota-murillo-tolima.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"8,6",55 comentarios,Murillo,"HOSTAL RANCHO JOTA Murillo Tolima se encuentra en Murillo. El hostal o pensión libre de humo cuenta con wifi gratis en todo el alojamiento.

Cada habitación está equipada con baño privado, y algunas también ofrecen cocina con nevera.

El aeropuerto (Aeropuerto de La Nubia) está a 77 km.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 650 m; RestaurantePanadería Murillo - 22 km; Cafetería/barCafetería y miscelánea - 22 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 70 km
Refugio Paramo Trek Murillo,https://www.booking.com/hotel/co/refugio-paramo-trek-murillo.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"9,0",29 comentarios,Murillo,"Refugio Paramo Trek Murillo está en Murillo y ofrece vistas a la montaña, jardín, terraza y restaurante.

Las unidades cuentan con patio con vistas al jardín.

Se puede practicar ciclismo en los alrededores.

El aeropuerto (Aeropuerto de La Nubia) está a 76 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 550 m; RestaurantePanadería Murillo - 23 km; Cafetería/barCafetería y miscelánea - 23 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 70 km
Hostal familiar aventura andina,https://www.booking.com/hotel/co/hostal-familiar-aventura-andina.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"9,8",26 comentarios,Murillo,"Hostal familiar aventura andina se encuentra en Murillo. Esta habitación en casa particular ofrece mostrador de información turística y wifi gratis.

La habitación en casa particular cuenta con TV de pantalla plana.

El aeropuerto (Aeropuerto de La Nubia) está a 77 km.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 100 m; RestaurantePanadería Murillo - 22 km; Cafetería/barCafetería y miscelánea - 23 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 70 km
